Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
Maniya Zhizeli (1995) - IMDb,Aleksey Uchitel,6.4,Biography,Galina Tyunina,1995,134,1h 35m
Der Mann auf der Bettkante (TV Movie 1995) - IMDb,Christoph Eichhorn,5.1,Comedy,Götz George,1995,17,1h 15m
Zum Glück gibt's meine Frau (1995) - IMDb,Xaver Schwarzenberger,5.4,Comedy,Christiane Hörbiger,1995,20,1h 30m
"Der Mann, der Hitler die Ideen gab (1995) - IMDb",Petrus van der Let,6.9,Documentary,N/A,1995,16,52m
Manneken Pis (1995) - IMDb,Frank Van Passel,7.2,Comedy,Frank Vercruyssen,1995,699,1h 29m
Mannen utan ben i den Europeiska Unionen (Short 1995) - IMDb,Håkan Alexandersson,N/A,Short,N/A,1995,N/A,12m
The Many Faces of Christopher Lee (Video 1996) - IMDb,Colin Webb,7.7,Biography,N/A,1996,165,Not Rated
Mao pai huang di (1995) - IMDb,Kwok-Kuen Lau,4.9,N/A,Bo-Bo Fung,1995,20,1h 26m
Passion 1995 (1995) - IMDb,Clarence Fok,6.4,Action,Simon Yam,1995,23,1h 30m
Mar de luna (1994) - IMDb,Manolo Matji,5.9,Drama,Emma Penella,1994,26,N/A
Marching in Darkness (1995) - IMDb,Massimo Spano,6.2,Drama,Daria Lucca,1995,125,1h 45m
Margaret's Museum (1995) - IMDb,Mort Ransen,7.2,Drama,Helena Bonham Carter,1995,1.4K,1h 54m
Mariposa china (1995) - IMDb,Claudio Ávila,N/A,Sci-Fi,Lidia Castro,1995,N/A,N/A
Marked Man (1996) - IMDb,Marc F. Voizard,5.2,Action,Roddy Piper,1996,365,1h 34m
Married Life (TV Series 1995– ) - IMDb,Tom Bishop Jr.,7.7,N/A,Tom Bishop Jr.,1995–,15,1995–
"Married People, Single Sex II: For Better or Worse (1995) - IMDb",Mike Sedan,2.7,Drama,Kathy Shower,1995,138,1h 39m
A Mascara (1995) - IMDb,Flora Gomes,N/A,N/A,N/A,1995,N/A,N/A
Greshnitsa v maske (1993) - IMDb,Svetlana Ilyinskaya,4.8,Drama,Tony Plana,1993,18,1h 23m
A Matter of Honor (1994) - IMDb,Fred P. Watkins,8.0,Drama,Allen Arkus,1994,41,PG
Matulla und Busch (TV Movie 1995) - IMDb,Matti Geschonneck,5.9,Comedy,Erwin Geschonneck,1995,20,1h 19m
"Matías, juez de línea (1996) - IMDb",Santiago Aguilar,4.9,Comedy,Carlos de Gabriel,1996,222,1h 34m
Maui Heat (TV Movie 1996) - IMDb,Mike Marvin,4.5,N/A,Kim Sill,1996,113,R
Max (Short 1995) - IMDb,Christian Davi,N/A,Short,Andreas Guglielmetti,1995,N/A,25m
Max Is Missing (TV Movie 1995) - IMDb,Mark Griffiths,6.0,Adventure,Gordon Cassidy,1995,206,PG
Mayerling (1968) - IMDb,Terence Young,6.1,Costume Drama,Terence Young,1968,1.8K,2h 20m
Le maître des éléphants (1995) - IMDb,Patrick Grandperret,5.7,Adventure,Alain Artur,1995,93,1h 35m
Medienbegegnung (Short 1995) - IMDb,Reinhard Schleining,N/A,Short,N/A,1995,N/A,4m
The Meds (1995) - IMDb,Matthias Glasner,6.2,Comedy,Dani Levy,1995,101,1h 25m
Mee Pok Man (1995) - IMDb,Eric Khoo,6.0,Crime,Joe Ng,1995,279,1h 45m
Megami Paradise (TV Series 1995– ) - IMDb,Atsuko Tanaka,6.9,Anime,Atsuko Tanaka,1995–,47,Unrated
Mehr als das Leben. Agnes Primocic (Short 1995) - IMDb,Christine Pramhas,N/A,Short,N/A,1995,N/A,25m
Tragic Commitment (1995) - IMDb,Frankie Chan,4.7,Comedy,Suk-Jan Lam,1995,27,1h 41m
Meilenweit (Short 1995) - IMDb,Peter Lemken,N/A,Short,N/A,1995,N/A,8m
Mekong (1995) - IMDb,Bruno Moll,N/A,Drama,Andrea Zogg,1995,N/A,1h 37m
Melodrama (1996) - IMDb,Rolando Díaz,7.8,Comedy,Carlos Cruz,1996,8,56m
Memoiren einer frustrierten Hedonistin (1995) - IMDb,Claas Danielsen,N/A,N/A,N/A,1995,N/A,1h 6m
Memories (1995) - IMDb,Katsuhiro Ôtomo,7.5,Adult Animation,Katsuhiro Ôtomo,1995,22K,1h 53m
The Michelle Apts. (1995) - IMDb,John Pozer,6.3,Dark Comedy,Henry Czerny,1995,76,1h 31m
Middle of the Moment (1995) - IMDb,Nicolas Humbert,8.3,Documentary,Robert Lax,1995,70,1h 20m
Midnight Confessions (1994) - IMDb,Duck Dumont,3.2,Action,Marc Cushman,1994,151,1h 21m
Midnight Dreamer (1995) - IMDb,Jay Holben,N/A,Drama,N/A,1995,N/A,N/A
Midnight Heat (1995) - IMDb,Harvey Frost,5.8,Mystery,Tim Matheson,1995,93,1h 38m
Midnight Man (TV Movie 1997) - IMDb,Lawrence Gordon Clark,4.7,Action,Rob Lowe,1997,244,R
Midnight Tease II (1995) - IMDb,Richard Styles,3.8,Erotic Thriller,Kimberly Kelley,1995,454,1h 31m
Midnight Temptations (1995) - IMDb,Ralph E. Portillo,3.4,Erotic Thriller,Wendy Hamilton,1995,137,1h 25m
The Midwife's Tale (1995) - IMDb,Megan Siler,7.0,Romance,Stacey Havener,1995,46,1h 15m
Mighty Aphrodite (1995) - IMDb,Woody Allen,7.0,Comedy,Woody Allen,1995,43K,1h 35m
Mighty Morphin Power Rangers (1995) - IMDb,Bryan Spicer,5.3,Superhero,John Kamps,1995,31K,1h 35m
Miguel (Short 1995) - IMDb,Walter Kehr,N/A,Documentary,N/A,1995,N/A,18m
Milan (1995) - IMDb,Mahesh Bhatt,5.1,Action,Jackie Shroff,1995,145,N/A
Milk and Honey (1988) - IMDb,Glen Salzman,7.8,Drama,Trevor D. Rhone,1988,42,1h 29m
Whisper of the Heart (1995) - IMDb,Yoshifumi Kondô,7.8,Anime,Aoi Hiiragi,1995,76K,1h 51m
On the Beat (1995) - IMDb,Ying Ning,7.0,Comedy,Li Jian,1995,181,1h 42m
Mindbender (TV Movie 1996) - IMDb,Ken Russell,3.9,Biography,Ishai Golan,1996,281,PG-13
Mirage (1995) - IMDb,Paul Williams,4.9,Action,James Andronica,1995,235,1h 32m
Les Misérables (1995) - IMDb,Claude Lelouch,7.4,Comedy,Jean-Paul Belmondo,1995,4.2K,2h 55m
Mit verbundenen Augen (TV Movie 1995) - IMDb,Marijan David Vajda,N/A,Thriller,Ursula Buschhorn,1995,N/A,1995
Mitt elektriske kjøkken (Short 1995) - IMDb,Jens Lien,5.3,Short,Jens Lien,1995,12,13m
The Mitzvah (TV Short 1995) - IMDb,Brian Heffron,N/A,Comedy,N/A,1995,N/A,1995
Mixed Blessings (TV Movie 1995) - IMDb,Bethany Rooney,5.8,Drama,Gabrielle Carteris,1995,361,TV-PG
Miyuki-chan in Wonderland (TV Mini Series 1995) - IMDb,Masako Katsuki,5.7,Anime,Masako Katsuki,1995,184,Not Rated
August in the Water (1995) - IMDb,Gakuryû Ishii,7.3,Drama,Rena Komine,1995,884,1h 57m
Mlode wilki (1995) - IMDb,Jaroslaw Zamojda,5.8,Action,Michelle Cleo Godsey,1995,767,1h 34m
Mo gui tian shi (1987) - IMDb,Clifford Choi,6.3,Crime,Nina Li Chi,1987,17,1h 26m
Dead and Alive: The Race for Gus Farace (TV Movie 1991) - IMDb,Peter Markle,5.3,Action,Tony Danza,1991,346,R
Mobbing: Die lieben Kollegen (TV Movie 1995) - IMDb,Bernd Böhlich,N/A,Drama,Annett Kruschke,1995,N/A,1h 35m
A Modern Affair (1995) - IMDb,Vern Oakley,5.7,Comedy,Vern Oakley,1995,195,1h 30m
"Mother Dao, the Turtlelike (1995) - IMDb",Vincent Monnikendam,7.7,Documentary,N/A,1995,182,1h 30m
I'll Leave It All Behind Me (1995) - IMDb,José Maria Sanchez,5.9,Comedy,Renato Pozzetto,1995,228,1h 40m
"Molom, conte de Mongolie (1995) - IMDb",Marie-Jaoul de Poncheville,7.7,N/A,N/A,1995,40,1h 33m
Mommy (1995) - IMDb,Max Allan Collins,4.8,Horror,Patty McCormack,1995,454,1h 29m
Monat (Short 1995) - IMDb,Thomas Baumann,N/A,Short,N/A,1995,N/A,19m
Money Train (1995) - IMDb,Joseph Ruben,5.7,Caper,Doug Richardson,1995,44K,1h 50m
"Monika, Peter, Catarina, Hr. Höller, Hubert (Short 1995) - IMDb",Victor Jaschke,N/A,Short,N/A,1995,N/A,30m
The Monkey Kid (1995) - IMDb,Xiao-Yen Wang,8.1,Drama,Fu Di,1995,33,1h 35m
The Monkey and the Engineer (Short 1996) - IMDb,Jacob Burckhardt,N/A,Short,N/A,1996,N/A,N/A
A Month by the Lake (1995) - IMDb,John Irvin,6.2,Period Drama,Vanessa Redgrave,1995,2.7K,1h 32m
Moondance (1994) - IMDb,Dagmar Hirtz,5.9,Drama,Rúaidhrí Conroy,1994,299,1h 32m
Moonlight and Valentino (1995) - IMDb,David Anspaugh,5.7,Comedy,Ellen Simon,1995,4.2K,1h 45m
A More Perfect Union (1995) - IMDb,Ari Sheinkin,6.6,N/A,Michael Dalmon,1995,19,1h 45m
Moribundi - geh' deinen letzten Weg (Short 1995) - IMDb,Michael Gartner,N/A,Short,N/A,1995,N/A,22m
Moroccan Lights (Short 1995) - IMDb,Henri Plaat,N/A,Short,N/A,1995,N/A,40m
Mortal Kombat (1995) - IMDb,Paul W.S. Anderson,5.8,Dark Fantasy,Christopher Lambert,1995,127K,1h 41m
The Mosaic Project (Video 1994) - IMDb,John Sjogren,5.9,Martial Arts,William Buzick III,1994,61,R
Moskovskie kanikuly (1995) - IMDb,Alla Surikova,5.9,Comedy,Jackie,1995,241,1h 30m
Mosquito (1994) - IMDb,Gary Jones,4.9,B-Horror,Gunnar Hansen,1994,3K,1h 32m
A Mother's Gift (TV Movie 1995) - IMDb,Jerry London,6.5,Drama,Bess Streeter Aldrich,1995,190,TV-PG
A Mother's Prayer (TV Movie 1995) - IMDb,Larry Elikann,6.6,Drama,Linda Hamilton,1995,366,PG-13
Moving Picture (Short 1995) - IMDb,Linda Christanell,7.5,Short,N/A,1995,17,11m
Mr. Holland's Opus (1995) - IMDb,Stephen Herek,7.3,Workplace Drama,Richard Dreyfuss,1995,42K,2h 24m
Mr. Payback: An Interactive Movie (1995) - IMDb,Bob Gale,4.5,Adventure,Billy Warlock,1995,108,30m
Mr. Stitch (TV Movie 1995) - IMDb,Roger Avary,4.7,Sci-Fi,Rutger Hauer,1995,918,PG-13
Mrs. Munck (1995) - IMDb,Diane Ladd,4.7,Comedy,Diane Ladd,1995,226,1h 36m
Mrtva tocka (TV Movie 1995) - IMDb,Snjezana Tribuson,7.5,Drama,Borislav Vujcic,1995,27,1995
MugShot (1996) - IMDb,Matt Mahurin,6.7,Crime,Michael Kenneth Williams,1996,26,1h 27m
Multiple Futures (1995) - IMDb,Alyce Wittenstein,6.4,Satire,Emmanuelle Chaulet,1995,11,1h 48m
Bruce Springsteen: Murder Incorporated (Music Video 1995) - IMDb,Jonathan Demme,7.3,Music,Clarence Clemons,1995,116,5m
Murder in the First (1995) - IMDb,Marc Rocco,7.3,Legal Thriller,Christian Slater,1995,31K,2h 2m
The Cold Heart of a Killer (TV Movie 1996) - IMDb,Paul Schneider,5.6,Adventure,Sue Henry,1996,124,1h 30m
Murdered Innocence (1996) - IMDb,Frank Coraci,6.3,Crime,Fred Carpenter,1996,92,1h 20m
Murderous Intent (TV Movie 1995) - IMDb,Gregory Goodell,4.7,Drama,Corbin Bernsen,1995,248,TV-PG
Muriel's Parents Are Desperate (1995) - IMDb,Philippe Faucon,6.6,Drama,Catherine Klein,1995,91,1h 14m
Mushrooms (1995) - IMDb,Alan Madden,6.1,Dark Comedy,Julia Blake,1995,283,1h 33m
Music Sounds (1995) - IMDb,Boris Penth,N/A,Documentary,N/A,1995,N/A,1h 35m
"""Great Performances"" Music for the Movies: The Hollywood Sound (TV Episode 1995) - IMDb",Joshua Waletzky,8.5,Comedy,John Mauceri,TV-G,71,1h 25m
Musulmanin (1995) - IMDb,Vladimir Khotinenko,6.8,Drama,Evgeniy Mironov,1995,560,1h 50m
Muzyka dlya dekabrya (1995) - IMDb,Ivan Dykhovichnyy,6.8,N/A,Viktor Bychkov,1995,41,1h 35m
Mut ohne Befehl - Widerstand und Verfolgung in Stuttgart 1933-1945 (1995) - IMDb,Katrin Seybold,N/A,N/A,N/A,1995,N/A,N/A
Mutant Species (1994) - IMDb,David A. Prior,3.5,Horror,Patrick Francis,1994,442,1h 40m
Mutter mit 18 (TV Movie 1995) - IMDb,Horst Kummeth,4.8,Drama,Susanna Wellenbrink,1995,10,1h 29m
Muusikon valinta (1995) - IMDb,Heikki Ortamo,7.7,N/A,N/A,1995,11,N/A
Muzhskiye otkroveniya (Short 1995) - IMDb,Yuri Grymov,5.0,Drama,Renata Litvinova,1995,10,23m
Muzhskoy talisman (1995) - IMDb,Boris Galkin,3.0,Action,Boris Galkin,1995,15,N/A
Muzsikál a mozi 'Filmdalok' (TV Movie 1995) - IMDb,Katalin Szemes,N/A,N/A,János Gálvölgyi,1995,N/A,41m
Muzsikál a mozi 'Filmslágerek' (TV Movie 1995) - IMDb,Katalin Szemes,N/A,N/A,János Gálvölgyi,1995,N/A,45m
Muzsikál a mozi 'Férficsillagok' (TV Movie 1995) - IMDb,Katalin Szemes,N/A,N/A,János Gálvölgyi,1995,N/A,30m
Muzsikál a mozi 'Jávor Pál dalai' (TV Movie 1995) - IMDb,Katalin Szemes,N/A,N/A,János Gálvölgyi,1995,N/A,1995
Muzsikál a mozi 'Magyar nóták' (TV Movie 1995) - IMDb,Katalin Szemes,N/A,N/A,János Gálvölgyi,1995,N/A,30m
Muzsikál a mozi 'Zenés filmek' (TV Movie 1995) - IMDb,Katalin Szemes,N/A,N/A,János Gálvölgyi,1995,N/A,28m
My Antonia (TV Movie 1995) - IMDb,Joseph Sargent,6.1,Drama,Jason Robards,1995,267,Not Rated
My Baby Left Me (Short 1995) - IMDb,Milorad Krstic,7.4,Animation,N/A,1995,91,9m
My Brother's Keeper (TV Movie 1995) - IMDb,Glenn Jordan,5.7,Biography,John Lithgow,1995,153,Unrated
My Dubious Sex Drive (1995) - IMDb,Lucy Phillips,3.4,N/A,Archie Bell,1995,6,1h 31m
My Family/Mi familia (1995) - IMDb,Gregory Nava,7.3,Drama,Jimmy Smits,1995,4.6K,2h 8m
"""The History of Rock 'n' Roll"" My Generation (TV Episode 1995) - IMDb",Obie Benz,7.8,Documentary,Joan Baez,N/A,172,1h
My Name Is Kahentiiosta (Short 1995) - IMDb,Alanis Obomsawin,7.5,Documentary,"September 22, 1995 (Canada)",1995,47,28m
My Old Fiddle: A Visit with Tommy Jarrell in the Blue Ridge (Short 1995) - IMDb,Les Blank,6.7,Documentary,N/A,1995,72,18m
N.E.P. (1995) - IMDb,Dragan Abjanic,8.6,Documentary,Lubomir Frckoski,1995,10,1h 30m
"Na uglu, u Patriarshikh... (TV Mini Series 1995– ) - IMDb",Zoya Zelinskaya,5.4,Action,Zoya Zelinskaya,1995–,36,1995–
Na you yi tian bu xiang ni (1995) - IMDb,Lei Cheuk,6.7,Drama,Athena Chu,1995,23,1h 30m
Naajayaz (1995) - IMDb,Mahesh Bhatt,5.6,Action,Naseeruddin Shah,1995,758,2h 37m
Nachfilm (Short 1995) - IMDb,Marc Adrian,N/A,Short,N/A,1995,N/A,8m
Die Nacht der Nächte (TV Movie 1995) - IMDb,Xaver Schwarzenberger,6.2,Drama,Senta Berger,1995,27,1h 30m
"""Century of Cinema"" Die Nacht der Regisseure (TV Episode 1995) - IMDb",Edgar Reitz,5.5,Biography,Henry Arnold,N/A,85,1h 27m
Nachtbus (Short 1995) - IMDb,Stephan Wagner,6.3,Short,Jale Arikan,1995,15,12m
Nobody Will Speak of Us When We're Dead (1995) - IMDb,Agustín Díaz Yanes,6.8,Crime,Victoria Abril,1995,2.2K,1h 44m
Nadja (Short 1995) - IMDb,Susanna Edwards,6.3,Family,Lena Klingvall,1995,13,25m
Nadja - Heimkehr in die Fremde (TV Movie 1995) - IMDb,Thorsten Näter,N/A,Drama,Dietmar Bär,1995,N/A,3h 10m
Nagasaki (TV Movie 1995) - IMDb,Serge Viallet,8.1,Documentary,France 2 Cinéma,1995,11,1995
Like Grains of Sand (1995) - IMDb,Ryosuke Hashiguchi,7.4,Drama,Yoshinori Okada,1995,1.6K,2h 9m
The Naked Eye (1995) - IMDb,James Dean Schulte,6.7,Thriller,Hellena Taylor,1995,26,R
Naked Horror (Short 1995) - IMDb,Jack Redd,3.8,Horror,Kelly Smith,1995,33,42m
Naked Jane (1995) - IMDb,Linda Kandel,6.3,Drama,Renee Stahl,1995,82,1h 51m
Naked Souls (1996) - IMDb,Lyndon Chubbuck,3.3,Sci-Fi,Brian Krause,1996,1.9K,1h 25m
The Christ of Nanjing (1995) - IMDb,Tony Au,6.8,Drama,Tony Ka Fai Leung,1995,91,1h 39m
The Eternal Evil of Asia (1995) - IMDb,Man-Kei Chin,6.2,Dark Comedy,Ellen Chan,1995,584,1h 29m
Nana (TV Movie 1997) - IMDb,Miguel Alexandre,7.8,Drama,Bernadette Heerwagen,1997,24,1h 41m
"Don't Cry, Nanking (1995) - IMDb",Ziniu Wu,6.6,Drama,Han Chin,1995,277,2h
Naomi & Wynonna: Love Can Build a Bridge (TV Movie 1995) - IMDb,Bobby Roth,6.9,Biography,Kathleen York,1995,362,TV-PG
Napoleon (1995) - IMDb,Mario Andreacchio,6.0,Animal Adventure,Michael Bourchier,1995,2.1K,1h 21m
Naaraaz (1994) - IMDb,Mahesh Bhatt,4.7,Action,Jay Dixit,1994,189,2h 8m
National Achievement Day (Short 1996) - IMDb,Ben Hopkins,8.2,Short,Barry Wallman,1996,29,27m
Favorite Deadly Sins (TV Movie 1995) - IMDb,David Jablin,5.2,Satire,Michael Barrie,1995,524,R
National Lampoon's Senior Trip (1995) - IMDb,Kelly Makin,5.6,Teen Comedy,Matt Frewer,1995,6.4K,1h 31m
Happy-Go-Lucky (1997) - IMDb,Tetsuya Nakashima,7.0,Drama,Hidaka Yoshitomo,1997,239,1h 13m
Nattbok (Short 1996) - IMDb,Carl Henrik Svenstedt,N/A,Short,N/A,1996,N/A,24m
The Nature of the Beast (1995) - IMDb,Victor Salva,6.2,Crime,Eric Roberts,1995,2.8K,1h 31m
Nausikaja (1995) - IMDb,Vicko Ruic,6.3,Drama,Nada Gacesic-Livakovic,1995,60,1h 51m
La nave de los locos (1995) - IMDb,Ricardo Wullicher,6.7,Drama,Luis Abeijón,1995,153,1h 44m
La nave de los sueños (1996) - IMDb,Ciro Durán,6.2,Drama,Óscar Borda,1996,41,1h 35m
The Near Room (1995) - IMDb,David Hayman,5.0,Drama,Adrian Dunbar,1995,235,1h 30m
Neben der Zeit (TV Movie 1996) - IMDb,Andreas Kleinert,7.4,Drama,Rosel Zech,1996,19,1h 45m
Negocios (Short 2001) - IMDb,Pablo Trapero,6.7,Short,Carmen Chironi,2001,25,17m
Nelly & Monsieur Arnaud (1995) - IMDb,Claude Sautet,7.2,Drama,Emmanuelle Béart,1995,5.2K,1h 46m
Nemesis 2: Nebula (Video 1995) - IMDb,Albert Pyun,3.8,Action,Sue Price,1995,2.1K,R
Nemesis 4: Death Angel (Video 1996) - IMDb,Albert Pyun,3.1,Action,Blanka Copikova,1996,1.6K,R
Nemesis 3: Time Lapse (Video 1996) - IMDb,Albert Pyun,3.0,Action,Sue Price,1996,1.6K,R
Nemici d'infanzia (1995) - IMDb,Luigi Magni,6.4,Drama,Luigi Magni,1995,23,1h 46m
The Neon Bible (1995) - IMDb,Terence Davies,6.2,Drama,Jacob Tierney,1995,1.1K,1h 31m
Nerotika (Video 1995) - IMDb,Albert Nerenberg,N/A,Short,N/A,1995,N/A,15m
Nervenkriege (1995) - IMDb,Stephan Krumbiegel,N/A,N/A,N/A,1995,N/A,45m
"""Screen Two"" Nervous Energy (TV Episode 1995) - IMDb",Jean Stewart,7.1,Drama,Alfred Molina,TV-14,92,1h 44m
Net Worth (TV Movie 1995) - IMDb,Jerry Ciccoritti,7.1,Drama,David Cruise,1995,263,Unrated
The Net (1995) - IMDb,Irwin Winkler,6.0,Conspiracy Thriller,Sandra Bullock,1995,76K,1h 54m
Die neue Marlene oder vagasen sollt ma uns (Short 1995) - IMDb,Jaroslaw Marcel Houf,N/A,Short,N/A,1995,N/A,10m
Die Neugier immer weiter treiben (TV Movie 1995) - IMDb,Peter Buchka,N/A,Documentary,N/A,1995,N/A,1995
Neulich am Deich (Short 1995) - IMDb,Janek Rieke,N/A,Short,Lisa Martinek,1995,N/A,N/A
Neurosia: Fifty Years of Perversion (1995) - IMDb,Rosa von Praunheim,6.2,Parody,Désirée Nick,1995,155,1h 29m
Neuschwanstein sehen und sterben (Short 1995) - IMDb,Tatiana Brandrup,N/A,Short,Nina Petri,1995,N/A,N/A
Never Give Up: The 20th Century Odyssey of Herbert Zipper (Short 1995) - IMDb,Terry Sanders,6.5,Documentary,N/A,1995,22,40m
Never Say Die (1994) - IMDb,Yossi Wein,4.4,Action,Jeff Albert,1994,245,1h 39m
Never Talk to Strangers (1995) - IMDb,Peter Hall,5.2,Psychological Thriller,Rebecca De Mornay,1995,7.5K,1h 26m
Nevski Melody (Short 1995) - IMDb,Peter Braatz,N/A,Short,N/A,1995,N/A,9m
New Jersey Drive (1995) - IMDb,Nick Gomez,6.6,Crime,Nick Gomez,1995,3.5K,1h 38m
The Next Step (1997) - IMDb,Christian Faber,6.1,Drama,Rick Negron,1997,63,1h 36m
Nguoi Yêu Di Lây Chông (1995) - IMDb,Vu Chau Nguyen,6.9,Drama,Lam Chiuh,1995,11,1h 20m
Niagaravation (1996) - IMDb,Joe Romano,5.5,Comedy,Joe Romano,1996,28,Not Rated
Nothing Funny (1995) - IMDb,Marek Koterski,7.3,Comedy,Cezary Pazura,1995,4K,1h 35m
Nick of Time (1995) - IMDb,John Badham,6.3,Dark Comedy,Johnny Depp,1995,46K,1h 30m
Nico Icon (1995) - IMDb,Susanne Ofteringer,7.2,Music Documentary,Nico,1995,763,1h 7m
"""L'histoire du samedi"" Le nid tombé de l'oiseau (TV Episode 1995) - IMDb",Alain Schwartzstein,6.5,Drama,Michèle Laroque,N/A,11,1h 32m
Infatuation (1985) - IMDb,Louis Tan,6.1,Romance,Lowell Lo,1985,16,1h 35m
Germans (1996) - IMDb,Zbigniew Kaminski,5.9,Drama,Vivian Schilling,1996,56,1h 52m
De nietsnut (TV Movie 1992) - IMDb,Ab van Ieperen,6.4,Drama,Pierre Bokma,1992,9,1h 30m
Night Canvas (1995) - IMDb,Patrick Drummond,N/A,Drama,Joan Giammarco,1995,N/A,1h 29m
Night Eyes Four: Fatal Passion (TV Movie 1996) - IMDb,Rodney McDonald,4.0,Erotic Thriller,Jeff Trachta,1996,343,R
Night Head (1995) - IMDb,Jôji Iida,6.0,Horror,Taro Fujioka,1995,38,1h 47m
Night Hunter (1996) - IMDb,Rick Jacobson,3.9,Action,Don Wilson,1996,840,1h 26m
Night of the Scarecrow (1995) - IMDb,Jeff Burr,5.4,Horror,Elizabeth Barondes,1995,1.5K,1h 25m
Nights in the Gardens of Spain (Short 1992) - IMDb,Ben Hume-Paton,6.7,Short,N/A,1992,7,20m
Detonator II: Night Watch (TV Movie 1995) - IMDb,David Jackson,5.1,Dark Comedy,Pierce Brosnan,1995,1.8K,R
Nikolaikirche (TV Movie 1995) - IMDb,Frank Beyer,6.8,Drama,Barbara Auer,1995,117,2h 18m
Nine Months (1995) - IMDb,Chris Columbus,5.5,Romantic Comedy,Hugh Grant,1995,39K,1h 43m
Nixon (1995) - IMDb,Oliver Stone,7.1,Docudrama,Anthony Hopkins,1995,33K,3h 12m
La niña de tus sueños (1995) - IMDb,Jesús R. Delgado,7.2,Drama,Ramon Madaula,1995,18,1h 45m
El niño invisible (1995) - IMDb,Rafael Moleón,3.8,Adventure,Bom Bom Chip,1995,67,1h 20m
No Exit (Video 1995) - IMDb,Damian Lee,3.7,Action,Jeff Wincott,1995,318,R
No One Could Protect Her (TV Movie 1996) - IMDb,Larry Shaw,5.6,True Crime,Joanna Kerns,1996,369,TV-14
No te mueras sin decirme adónde vas (1995) - IMDb,Eliseo Subiela,7.0,Drama,Darío Grandinetti,1995,886,2h
NoHo (1995) - IMDb,David Schrader,8.3,Comedy,David Schrader,1995,16,1h 30m
Noc za slusanje (Short 1995) - IMDb,Jelena Rajkovic,7.3,Drama,Goran Sergej Pristas,1995,44,42m
La noche no se hizo para los ángeles (1995) - IMDb,N/A,N/A,N/A,N/A,1995,N/A,N/A
Noe beroligende (1995) - IMDb,Mona J. Hoel,6.0,Drama,Anne Karin Huseby,1995,21,1h 22m
Noir comme le souvenir (1995) - IMDb,Jean-Pierre Mocky,6.0,Crime,Jane Birkin,1995,261,1h 32m
Nonnie & Alex (Short 1995) - IMDb,Todd Field,6.0,Drama,Heather Ramsey,1995,344,33m
One Man's Justice (1996) - IMDb,Kurt Wimmer,5.3,Action,Brian Bosworth,1996,1.3K,1h 40m
Peggio di così si muore (1995) - IMDb,Marcello Cesena,6.2,Parody,Carla Signoris,1995,113,1h 30m
Pekko ja massahurmaaja (1995) - IMDb,Timo Koivusalo,3.8,Comedy,Timo Koivusalo,1995,289,1h 21m
Like It Never Was Before (1995) - IMDb,Susanne Bier,6.4,Drama,Loa Falkman,1995,997,1h 48m
The Perez Family (1995) - IMDb,Mira Nair,6.0,Comedy,Marisa Tomei,1995,2.5K,1h 53m
Perfect Alibi (1995) - IMDb,Kevin Meyer,5.3,Crime,Teri Garr,1995,326,1h 38m
The Dog in the Manger (1996) - IMDb,Pilar Miró,6.8,Comedy,Emma Suárez,1996,1.1K,1h 59m
A Perry Mason Mystery: The Case of the Jealous Jokester (TV Movie 1995) - IMDb,Vincent McEveety,6.4,Crime,Hal Holbrook,1995,293,1h 36m
Persuasion (TV Movie 1995) - IMDb,Roger Michell,7.7,Period Drama,Jane Austen,1995,12K,PG
Pestka (1995) - IMDb,Krystyna Janda,5.8,Drama,Krystyna Janda,1995,165,1h 33m
A Petal (1996) - IMDb,Jang Sun-woo,7.0,Drama,Lee Jung-hyun,1996,498,1h 41m
"""Peter Strohm"" Unter Brüdern (TV Episode 1995) - IMDb",Sylvia Hoffmann,N/A,Crime,Klaus Löwitsch,N/A,N/A,N/A
The Tears of Saint Peter (1995) - IMDb,Erich Hörtnagl,4.5,Drama,Izabella Scorupco,1995,260,1h 40m
Pharaoh's Army (1995) - IMDb,Robby Henson,6.5,Coming-of-Age,Chris Cooper,1995,736,1h 30m
Phettberg (Short 1995) - IMDb,Marc Adrian,N/A,Short,N/A,1995,N/A,10m
Phinehas (Short 1996) - IMDb,Fisher Stevens,2.9,Drama,N/A,1996,43,18m
Phoenix (1995) - IMDb,Troy Cook,3.4,Sci-Fi,Stephen Nichols,1995,228,1h 30m
Thunderbolt (1995) - IMDb,Gordon Chan,6.3,Action,Gordon Chan,1995,10K,1h 50m
The Piano Lesson (TV Movie 1995) - IMDb,Lloyd Richards,6.8,Drama,August Wilson,1995,563,PG
Picoti Picota (Short 1996) - IMDb,Manon Briand,6.0,Short,N/A,1996,12,10m
Picture Bride (1994) - IMDb,Kayo Hatta,6.6,Drama,Kayo Hatta,1994,1.2K,1h 34m
Picture Perfect (TV Movie 1995) - IMDb,Joseph L. Scanlan,7.2,Comedy,Richard Karn,1995,438,TV-PG
Pie in the Sky (1995) - IMDb,Bryan Gordon,5.7,Comedy,Josh Charles,1995,916,1h 35m
A Pig's Tale (Video 1994) - IMDb,Paul Tassie,5.9,Adventure,Todd Richardson,1994,592,PG
Pigen med de grønne øjne (1995) - IMDb,Helge Sten-Knudsen,5.9,Drama,Bo Green Jensen,1995,21,52m
